id,tracker,created_at,campaign_name,creative_name,adgroup_name,label,device_name,app_version,activity_kind,event_name,adid,user_id,country
4,gxel3d1,2018-02-01 18:21:47,organic,appstore_footer_badge,website,visitor_id_d32ff886c87c434d,"iPhone 7,12.1.4",1.0.0,click,,3f9df7f7306617a2273d8e764c04a994,,mx
5,gxel3d1,2018-02-01 18:29:47,organic,appstore_footer_badge,website,visitor_id_d32ff886c87c434d,"iPhone 7,12.1.4",1.0.0,install,,3f9df7f7306617a2273d8e764c04a994,,mx
6,gxel3d1,2018-02-01 18:48:49,organic,appstore_footer_badge,website,visitor_id_d32ff886c87c434d,"iPhone 7,12.1.4",1.0.0,event,signup,3f9df7f7306617a2273d8e764c04a994,5881,mx
7,gxel3d1,2018-02-11 08:24:51,organic,appstore_footer_badge,website,visitor_id_9ef7d35d63f2f35d,"iPhone 8,12.3.1",1.0.0,click,,f95147dab1687e87d8df984596195c2d,,in
8,gxel3d1,2018-02-11 08:35:51,organic,appstore_footer_badge,website,visitor_id_9ef7d35d63f2f35d,"iPhone 8,12.3.1",1.0.0,install,,f95147dab1687e87d8df984596195c2d,,in
10,gxel3d1,2018-02-15 08:34:37,organic,appstore_hero_badge,website,visitor_id_3a59a429467eff0e,"iPhone X,12.1.4",1.0.0,click,,c2bd5d14cb238ff429edcfb03b90de45,,br
11,gxel3d1,2018-02-15 08:50:37,organic,appstore_hero_badge,website,visitor_id_3a59a429467eff0e,"iPhone X,12.1.4",1.0.0,install,,c2bd5d14cb238ff429edcfb03b90de45,,br
12,gxel3d1,2018-02-15 09:04:46,organic,appstore_hero_badge,website,visitor_id_3a59a429467eff0e,"iPhone X,12.1.4",1.0.0,event,signup,c2bd5d14cb238ff429edcfb03b90de45,5883,br
13,gxel3d1,2018-02-25 16:06:12,organic,appstore_footer_badge,website,visitor_id_3124c7c2b31c0998,"iPhone X,12.1.0",1.0.0,click,,0c8743d98cf52e27d5ef6fa5bbd22baf,,vn
14,gxel3d1,2018-02-25 16:17:12,organic,appstore_footer_badge,website,visitor_id_3124c7c2b31c0998,"iPhone X,12.1.0",1.0.0,install,,0c8743d98cf52e27d5ef6fa5bbd22baf,,vn
15,gxel3d1,2018-02-25 16:37:35,organic,appstore_footer_badge,website,visitor_id_3124c7c2b31c0998,"iPhone X,12.1.0",1.0.0,event,signup,0c8743d98cf52e27d5ef6fa5bbd22baf,5884,vn
16,gxel3d1,2018-02-28 14:36:21,organic,install_app_section,website,visitor_id_cad6ac60cb3dfa21,"iPhone 7 Plus,12.1.0",1.0.0,click,,878fae818c6325a132451cbf173c4cdb,,in
17,gxel3d1,2018-02-28 14:47:21,organic,install_app_section,website,visitor_id_cad6ac60cb3dfa21,"iPhone 7 Plus,12.1.0",1.0.0,install,,878fae818c6325a132451cbf173c4cdb,,in
18,gxel3d1,2018-02-28 14:59:59,organic,install_app_section,website,visitor_id_cad6ac60cb3dfa21,"iPhone 7 Plus,12.1.0",1.0.0,event,signup,878fae818c6325a132451cbf173c4cdb,5885,in
19,gxel3d1,2018-02-25 22:48:58,organic,install_app_section,website,visitor_id_8dce263829c1104f,"iPhone XS Max,12.3.1",1.0.0,click,,bcf14ef0c57b64721cddd9ffd244cea0,,in
20,gxel3d1,2018-02-25 22:59:58,organic,install_app_section,website,visitor_id_8dce263829c1104f,"iPhone XS Max,12.3.1",1.0.0,install,,bcf14ef0c57b64721cddd9ffd244cea0,,in
21,gxel3d1,2018-02-25 23:17:56,organic,install_app_section,website,visitor_id_8dce263829c1104f,"iPhone XS Max,12.3.1",1.0.0,event,signup,bcf14ef0c57b64721cddd9ffd244cea0,5886,in
22,gxel3d1,2018-02-21 03:20:16,organic,install_app_section,website,visitor_id_2ba55e206495e2fd,"iPhone 8,12.2.0",1.0.0,click,,8f880943e9a37058336dda8fc63a887f,,in
23,gxel3d1,2018-02-21 03:29:16,organic,install_app_section,website,visitor_id_2ba55e206495e2fd,"iPhone 8,12.2.0",1.0.0,install,,8f880943e9a37058336dda8fc63a887f,,in
24,gxel3d1,2018-02-21 03:41:10,organic,install_app_section,website,visitor_id_2ba55e206495e2fd,"iPhone 8,12.2.0",1.0.0,event,signup,8f880943e9a37058336dda8fc63a887f,5887,in
25,gxel3d1,2018-02-23 21:46:07,organic,appstore_hero_badge,website,visitor_id_c52cf6f2007e3c56,"iPhone 7 Plus,12.2.0",1.0.0,click,,b704980c412e92b9b201c3b96ac6f478,,us
26,gxel3d1,2018-02-23 21:58:07,organic,appstore_hero_badge,website,visitor_id_c52cf6f2007e3c56,"iPhone 7 Plus,12.2.0",1.0.0,install,,b704980c412e92b9b201c3b96ac6f478,,us
27,gxel3d1,2018-02-23 22:11:16,organic,appstore_hero_badge,website,visitor_id_c52cf6f2007e3c56,"iPhone 7 Plus,12.2.0",1.0.0,event,signup,b704980c412e92b9b201c3b96ac6f478,5888,us
28,gxel3d1,2018-02-20 18:37:22,organic,install_app_section,website,visitor_id_dc84d992b98ffd97,"iPhone 7 Plus,12.1.0",1.0.0,click,,6f17cc3ce655783434a242bf286a546f,,us
29,gxel3d1,2018-02-20 18:44:22,organic,install_app_section,website,visitor_id_dc84d992b98ffd97,"iPhone 7 Plus,12.1.0",1.0.0,install,,6f17cc3ce655783434a242bf286a546f,,us
30,gxel3d1,2018-02-20 19:01:21,organic,install_app_section,website,visitor_id_dc84d992b98ffd97,"iPhone 7 Plus,12.1.0",1.0.0,event,signup,6f17cc3ce655783434a242bf286a546f,5889,us
31,gxel3d1,2018-02-19 07:32:05,organic,install_app_section,website,visitor_id_789c8fcc3e481c0c,"iPhone 8,12.3.1",1.0.0,click,,8909a11cdc39b3241df0d9546d271ff6,,us
32,gxel3d1,2018-02-19 07:36:05,organic,install_app_section,website,visitor_id_789c8fcc3e481c0c,"iPhone 8,12.3.1",1.0.0,install,,8909a11cdc39b3241df0d9546d271ff6,,us
34,gxel3d1,2018-02-13 07:11:08,organic,install_app_section,website,visitor_id_d16eb88774e1221e,"iPhone X,12.1.4",1.0.0,click,,04b7a28b981c22d6f5de66e8503aec26,,us
35,gxel3d1,2018-02-13 07:19:08,organic,install_app_section,website,visitor_id_d16eb88774e1221e,"iPhone X,12.1.4",1.0.0,install,,04b7a28b981c22d6f5de66e8503aec26,,us
36,gxel3d1,2018-02-13 07:37:52,organic,install_app_section,website,visitor_id_d16eb88774e1221e,"iPhone X,12.1.4",1.0.0,event,signup,04b7a28b981c22d6f5de66e8503aec26,5891,us
37,gxel3d1,2018-02-03 15:34:29,organic,install_app_section,website,visitor_id_794daa50139f7cb8,"iPhone 8,12.3.1",1.0.0,click,,a3228905ad521f1f5604bc5e6b7007c2,,in
38,gxel3d1,2018-02-03 15:48:29,organic,install_app_section,website,visitor_id_794daa50139f7cb8,"iPhone 8,12.3.1",1.0.0,install,,a3228905ad521f1f5604bc5e6b7007c2,,in
